ISOPais	País	Tipo	Celebración	Descripción	Fecha	Año	Mes	Día
CO	Colombia	National holiday	New Year's Day	"New Year’s Day is the first day of the year, or January 1, in the Gregorian calendar."	2000-01-01	2000	1	1
CO	Colombia	National holiday	Epiphany	Epiphany is a national holiday in Colombia	2000-01-10	2000	1	10
CO	Colombia	Observance	Women's Day	Women's Day is a observance in Colombia	2000-03-08	2000	3	8
CO	Colombia	National holiday	Saint Joseph's Day	Saint Joseph's Day is a national holiday in Colombia	2000-03-20	2000	3	20
CO	Colombia	"Observance,Christian"	Palm Sunday	Palm Sunday is a Christian feast that commemorates Jesus Christ’s entry into Jerusalem. It is also the start of Holy Week.	2000-04-16	2000	4	16
CO	Colombia	"National holiday,Christian"	Maundy Thursday	Maundy Thursday is a Christian observance on the Thursday during Holy Week. It is the day before Good Friday.	2000-04-20	2000	4	20
CO	Colombia	"National holiday,Christian"	Good Friday	Good Friday is a global Christian observance two days before Easter Sunday.	2000-04-21	2000	4	21
CO	Colombia	Observance	Language Day	Language Day is a observance in Colombia	2000-04-23	2000	4	23
CO	Colombia	"Observance,Christian"	Easter Sunday	"Easter Sunday commemorates Jesus Christ’s resurrection, according to Christian belief."	2000-04-23	2000	4	23
CO	Colombia	Observance	Secretaries' Day	Secretaries' Day is a observance in Colombia	2000-04-26	2000	4	26
CO	Colombia	Observance	Children's Day	Children's Day is a observance in Colombia	2000-04-29	2000	4	29
CO	Colombia	Observance	Day of Trees	Day of Trees is a observance in Colombia	2000-04-29	2000	4	29
CO	Colombia	National holiday	Labor Day / May Day	"Labor Day, or May Day, is a day off for workers in many countries around the world."	2000-05-01	2000	5	1
CO	Colombia	Observance	Mother's Day	Mother’s Day celebrates the achievements and efforts of mothers and mother figures.	2000-05-14	2000	5	14
CO	Colombia	Observance	Teacher's Day	Teacher's Day is a observance in Colombia	2000-05-15	2000	5	15
CO	Colombia	National holiday	Ascension Day	Ascension Day is the 40th day of Easter. It is a religious holiday that commemorates the ascension of Jesus Christ into heaven.	2000-06-05	2000	6	5
CO	Colombia	Observance	Father's Day	Father’s Day celebrates fatherhood and male parenting on different dates worldwide.	2000-06-18	2000	6	18
CO	Colombia	National holiday	Corpus Christi	Corpus Christi is a Christian feast in honor of the Holy Eucharist.	2000-06-26	2000	6	26
CO	Colombia	National holiday	Sacred Heart	Sacred Heart is a national holiday in Colombia	2000-07-03	2000	7	3
CO	Colombia	National holiday	Feast of Saint Peter and Saint Paul	Feast of Saint Peter and Saint Paul is a national holiday in Colombia	2000-07-03	2000	7	3
CO	Colombia	National holiday	Independence Day	Independence Day is a national holiday in Colombia	2000-07-20	2000	7	20
CO	Colombia	National holiday	Battle of Boyacá Day	Battle of Boyacá Day is a national holiday in Colombia	2000-08-07	2000	8	7
CO	Colombia	National holiday	Assumption of Mary	The Christian feast of the Assumption of Mary is on or around Aug 15 in most countries. A few celebrate Assumption Day at other times of the year.	2000-08-21	2000	8	21
CO	Colombia	Observance	Valentine's Day	"Valentine’s Day is a special time to celebrate love, romance and friendship."	2000-09-16	2000	9	16
CO	Colombia	National holiday	Columbus Day	Columbus Day is a national holiday in Colombia	2000-10-16	2000	10	16
CO	Colombia	Observance	Halloween	Halloween is a festive occasion that is celebrated in many countries on October 31 each year.	2000-10-31	2000	10	31
CO	Colombia	National holiday	All Saints' Day	"Many churches honor all their saints on All Saints' Day, also known as All Hallows' Day."	2000-11-06	2000	11	6
CO	Colombia	National holiday	Independence of Cartagena	Independence of Cartagena is a national holiday in Colombia	2000-11-13	2000	11	13
CO	Colombia	Observance	Colombian Women's Day	Colombian Women's Day is a observance in Colombia	2000-11-14	2000	11	14
CO	Colombia	Observance	Eve of the Feast of the Immaculate Conception	Eve of the Feast of the Immaculate Conception is a observance in Colombia	2000-12-07	2000	12	7
CO	Colombia	National holiday	Feast of the Immaculate Conception	The Feast of the Immaculate Conception is a Christian observance on December 8 each year.	2000-12-08	2000	12	8
CO	Colombia	Observance	Christmas Eve	Christmas Eve is the day before Christmas Day and falls on December 24 in the Gregorian calendar.	2000-12-24	2000	12	24
CO	Colombia	"National holiday,Christian"	Christmas Day	Christmas Day is one of the biggest Christian celebrations and falls on December 25 in the Gregorian calendar.	2000-12-25	2000	12	25
